Probability of death for males by calendar year and by single year of age (ages 0 to 119).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
1900,0.145957,0.03814,0.019577,0.013529,0.010797,0.00794,0.005698,0.004073,0.003047,0.002555,0.002483,0.00267,0.002935,0.003153,0.003355,0.003673,0.004149,0.004676,0.005233,0.005797,0.006421,0.007024,0.007445,0.007616,0.007606,0.007526,0.007496,0.007554,0.007754,0.008057,0.008382,0.00867,0.008939,0.009172,0.00938,0.009603,0.009845,0.010077,0.010294,0.01051,0.010743,0.011015,0.011337,0.011722,0.012169,0.012677,0.013235,0.013832,0.014463,0.015146,0.01589,0.016732,0.017708,0.018841,0.020114,0.021543,0.023065,0.024593,0.026088,0.027618,0.029303,0.031228,0.033395,0.035841,0.038578,0.041585,0.044879,0.048518,0.052527,0.056907,0.061824,0.067135,0.072536,0.077928,0.083538,0.089449,0.096175,0.104262,0.113999,0.125035,0.136917,0.149054,0.161175,0.173025,0.184855,0.197067,0.20998,0.22376,0.238407,0.253781,0.269703,0.285976,0.30241,0.318835,0.335097,0.352121,0.369939,0.388584,0.408092,0.428496,0.449921,0.472417,0.496038,0.52084,0.546882,0.574226,0.602937,0.633084,0.664738,0.697975,0.732874,0.769518,0.807994,0.848393,0.890813,0.935354,0.982121,1,1,1
1901,0.12802,0.032822,0.01688,0.01168,0.009325,0.00702,0.005207,0.003885,0.00304,0.002622,0.002542,0.002676,0.002885,0.003072,0.00326,0.003546,0.003966,0.004446,0.004971,0.005518,0.006121,0.006707,0.007144,0.007374,0.007452,0.007474,0.007536,0.00766,0.007889,0.008193,0.008518,0.008814,0.009073,0.009275,0.009443,0.009607,0.009805,0.010054,0.010372,0.010747,0.011162,0.011588,0.012007,0.012408,0.012809,0.013258,0.01377,0.014315,0.014893,0.015525,0.016217,0.017012,0.017968,0.019118,0.020437,0.021904,0.023465,0.025083,0.026734,0.028455,0.030355,0.032451,0.034672,0.037015,0.039532,0.042277,0.04533,0.048747,0.052576,0.05681,0.061702,0.067003,0.072215,0.077171,0.082246,0.087331,0.09347,0.102007,0.113557,0.127222,0.142168,0.156731,0.169728,0.180383,0.189615,0.19885,0.209257,0.221489,0.235646,0.25134,0.268044,0.285179,0.30218,0.318564,0.333891,0.350082,0.367189,0.385272,0.40439,0.424609,0.44584,0.468132,0.491538,0.516115,0.541921,0.569017,0.597468,0.627341,0.658708,0.691644,0.726226,0.762537,0.800664,0.840697,0.882732,0.926869,0.973212,1,1,1
1902,0.125569,0.031763,0.016343,0.011312,0.009031,0.006787,0.005016,0.003713,0.002865,0.002424,0.002306,0.002399,0.002578,0.002752,0.00294,0.003226,0.003637,0.004095,0.004581,0.005078,0.005631,0.006171,0.006558,0.00673,0.006751,0.006709,0.006717,0.006827,0.007094,0.007473,0.007889,0.008263,0.008572,0.008782,0.008927,0.009057,0.009228,0.009452,0.009752,0.010113,0.010517,0.010924,0.011306,0.011642,0.011962,0.012317,0.012745,0.013247,0.01384,0.014526,0.015284,0.016126,0.01709,0.018192,0.019422,0.020783,0.022241,0.023763,0.02533,0.026975,0.02881,0.030828,0.032924,0.035082,0.037378,0.039839,0.042632,0.04594,0.049868,0.054324,0.059385,0.064717,0.069874,0.07466,0.079414,0.084272,0.090014,0.097438,0.106975,0.118079,0.130142,0.142182,0.153614,0.163996,0.17382,0.183863,0.194755,0.206847,0.220183,0.23454,0.249621,0.265093,0.280633,0.295957,0.310805,0.326387,0.342739,0.359899,0.377906,0.396802,0.416642,0.437474,0.459348,0.482315,0.506431,0.531752,0.55834,0.586257,0.61557,0.646348,0.678666,0.712599,0.748229,0.78564,0.824922,0.866168,0.909477,0.954951,1,1
1903,0.120313,0.029479,0.015185,0.010518,0.008399,0.006448,0.004909,0.003777,0.00304,0.002655,0.002553,0.002638,0.002803,0.002971,0.003157,0.003429,0.003812,0.004242,0.004704,0.00518,0.005707,0.006221,0.006597,0.00678,0.006825,0.006818,0.006853,0.006967,0.007202,0.007525,0.007877,0.008198,0.008483,0.008708,0.008895,0.009083,0.009305,0.009563,0.00987,0.010221,0.010597,0.01099,0.01141,0.011856,0.01233,0.012877,0.013464,0.014016,0.014506,0.014988,0.015498,0.016145,0.01703,0.018218,0.019656,0.021261,0.022933,0.024635,0.026323,0.028045,0.029952,0.032061,0.034248,0.036501,0.038893,0.041491,0.044426,0.047803,0.051702,0.056084,0.061018,0.066313,0.071707,0.077093,0.082694,0.08855,0.095197,0.103239,0.112981,0.124021,0.135942,0.148006,0.159731,0.170775,0.181525,0.192589,0.204457,0.217399,0.231444,0.246415,0.262076,0.278166,0.294429,0.310641,0.326596,0.343282,0.360726,0.378959,0.39801,0.417911,0.438806,0.460747,0.483784,0.507973,0.533372,0.560041,0.588043,0.617445,0.648317,0.680733,0.714769,0.750508,0.788033,0.827435,0.868807,0.912247,0.957859,1,1,1
1904,0.12599,0.030738,0.015823,0.010956,0.008748,0.006629,0.004975,0.003787,0.003054,0.002725,0.002711,0.002889,0.003119,0.003304,0.00347,0.003723,0.004097,0.004505,0.004929,0.005356,0.005834,0.006304,0.006645,0.006804,0.006838,0.006816,0.006848,0.006998,0.007323,0.007773,0.008266,0.008716,0.009099,0.009378,0.009584,0.009785,0.010022,0.010281,0.010573,0.010897,0.011239,0.011601,0.012005,0.012458,0.012957,0.013532,0.014148,0.014735,0.01527,0.015803,0.016392,0.017125,0.018052,0.01922,0.020608,0.022107,0.023722,0.025565,0.027665,0.02997,0.032594,0.035316,0.037773,0.039816,0.041678,0.04357,0.045964,0.049235,0.053642,0.058945,0.065031,0.071286,0.07713,0.082245,0.087106,0.092092,0.098178,0.106174,0.11658,0.128805,0.142078,0.155418,0.168392,0.180592,0.192445,0.204628,0.217681,0.231891,0.247268,0.263594,0.280581,0.297922,0.315316,0.332504,0.34925,0.366814,0.385235,0.404553,0.42481,0.446051,0.468353,0.491771,0.51636,0.542178,0.569286,0.597751,0.627638,0.65902,0.691971,0.72657,0.762898,0.801043,0.841095,0.88315,0.927308,0.973673,1,1,1,1
1905,0.127918,0.029148,0.015017,0.010403,0.008308,0.006284,0.004701,0.003559,0.002845,0.002514,0.002483,0.002637,0.002849,0.003029,0.003199,0.003451,0.003818,0.004233,0.004682,0.005144,0.005663,0.006166,0.006513,0.006646,0.006628,0.006547,0.006527,0.006631,0.006921,0.007344,0.007808,0.00823,0.008602,0.008894,0.009129,0.009379,0.009659,0.00992,0.010157,0.010392,0.010607,0.010868,0.011275,0.011875,0.012613,0.013479,0.014323,0.014981,0.015363,0.015584,0.015799,0.016212,0.016921,0.018029,0.019469,0.021051,0.02271,0.024552,0.026578,0.02876,0.03121,0.033778,0.036175,0.03829,0.040295,0.042443,0.04501,0.048106,0.051868,0.056233,0.061127,0.066383,0.071905,0.07763,0.0837,0.090213,0.097454,0.105677,0.115033,0.125359,0.13646,0.148032,0.159897,0.171917,0.184247,0.197127,0.210749,0.225208,0.240503,0.256549,0.273233,0.290434,0.308028,0.325905,0.343959,0.362642,0.381949,0.401871,0.422399,0.443519,0.465695,0.488979,0.513428,0.5391,0.566055,0.594358,0.624075,0.655279,0.688043,0.722445,0.758568,0.796496,0.836321,0.878137,0.922044,0.968146,1,1,1,1
1906,0.130912,0.030382,0.015642,0.010832,0.008649,0.00638,0.004621,0.003371,0.002615,0.002299,0.002326,0.002562,0.002857,0.003105,0.003333,0.003653,0.004099,0.004574,0.005058,0.005535,0.006061,0.00657,0.006926,0.007071,0.007067,0.007004,0.006992,0.007077,0.007308,0.00765,0.008016,0.008355,0.008689,0.009005,0.009309,0.00964,0.009986,0.010293,0.010543,0.010766,0.010967,0.011218,0.011594,0.012141,0.01281,0.0136,0.014376,0.014983,0.015342,0.015561,0.015763,0.016159,0.016888,0.018063,0.019595,0.021309,0.023065,0.024868,0.026668,0.028503,0.030537,0.032754,0.034977,0.037168,0.039424,0.041893,0.044711,0.047923,0.051599,0.055738,0.060314,0.065301,0.070717,0.076569,0.082901,0.089745,0.097172,0.105248,0.114015,0.123446,0.13358,0.1443,0.155449,0.166959,0.178949,0.19159,0.205017,0.219306,0.234465,0.250443,0.267174,0.284576,0.302566,0.321067,0.339998,0.359436,0.379341,0.399668,0.420368,0.441387,0.463456,0.486629,0.51096,0.536508,0.563334,0.5915,0.621076,0.652129,0.684736,0.718973,0.754921,0.792667,0.832301,0.873916,0.917611,0.963492,1,1,1,1
1907,0.124972,0.02821,0.014541,0.010076,0.008048,0.005991,0.004395,0.003262,0.00258,0.002301,0.002337,0.002564,0.002847,0.003088,0.003315,0.003619,0.004044,0.004529,0.005066,0.005625,0.006248,0.00684,0.007236,0.007362,0.007297,0.007156,0.007084,0.007151,0.007427,0.007857,0.008328,0.008753,0.009143,0.009468,0.009746,0.010044,0.01037,0.010673,0.010946,0.011211,0.011456,0.011746,0.012169,0.012767,0.013491,0.014343,0.015177,0.015823,0.01619,0.016399,0.016592,0.016991,0.017733,0.018934,0.020506,0.022269,0.02409,0.025996,0.027947,0.02997,0.032222,0.034666,0.037115,0.039519,0.041988,0.044634,0.047652,0.051182,0.055334,0.060038,0.065326,0.070949,0.076604,0.082156,0.087861,0.093831,0.100642,0.108875,0.118844,0.130156,0.142476,0.15501,0.167145,0.178508,0.189587,0.201132,0.21375,0.227776,0.243262,0.260006,0.277735,0.296146,0.314939,0.333857,0.352662,0.372081,0.392098,0.412695,0.433852,0.455544,0.478322,0.502238,0.52735,0.553717,0.581403,0.610473,0.640997,0.673047,0.706699,0.742034,0.779136,0.818092,0.858997,0.901947,0.947044,0.994396,1,1,1,1
1908,0.120211,0.026875,0.013864,0.009612,0.007678,0.005787,0.004307,0.003236,0.002562,0.002241,0.002201,0.002339,0.002542,0.002731,0.002922,0.003191,0.003565,0.003985,0.004436,0.004898,0.005413,0.005906,0.006241,0.006354,0.006313,0.006208,0.006159,0.006216,0.006438,0.006779,0.007158,0.007502,0.007807,0.008046,0.008242,0.00845,0.008696,0.00896,0.009247,0.009563,0.009878,0.010226,0.010682,0.011275,0.011965,0.012775,0.013577,0.014195,0.014544,0.014741,0.0149,0.015255,0.015983,0.017215,0.018835,0.020656,0.022483,0.024276,0.025956,0.027589,0.02941,0.031435,0.033468,0.035477,0.037571,0.039871,0.04255,0.045726,0.049499,0.053833,0.058619,0.0638,0.069433,0.075517,0.082075,0.089058,0.096555,0.104716,0.1136,0.123103,0.13337,0.144021,0.154489,0.164547,0.174577,0.185148,0.196727,0.209588,0.2238,0.239248,0.25576,0.273135,0.291172,0.309688,0.328514,0.347776,0.367416,0.387373,0.407577,0.427956,0.449354,0.471822,0.495413,0.520183,0.546193,0.573502,0.602177,0.632286,0.663901,0.697096,0.73195,0.768548,0.806975,0.847324,0.88969,0.934175,0.980883,1,1,1
1909,0.114568,0.025922,0.013381,0.009281,0.007414,0.005493,0.004,0.002937,0.002296,0.00203,0.002054,0.002246,0.002472,0.00264,0.002776,0.002986,0.003309,0.003667,0.004049,0.00444,0.004873,0.005294,0.005605,0.005761,0.005808,0.005815,0.00586,0.005969,0.006176,0.006457,0.006762,0.00705,0.007326,0.007575,0.00781,0.008059,0.008336,0.008635,0.008959,0.009311,0.009671,0.010058,0.010512,0.01105,0.01165,0.012343,0.013043,0.013623,0.014025,0.014334,0.014642,0.015111,0.015857,0.016969,0.018379,0.019968,0.021616,0.023299,0.024969,0.026677,0.028558,0.030649,0.032869,0.035219,0.037745,0.040531,0.043615,0.046984,0.050658,0.054677,0.059067,0.063886,0.069196,0.075039,0.081411,0.088268,0.095612,0.103499,0.111944,0.120935,0.130626,0.140854,0.151295,0.161839,0.172706,0.184213,0.196619,0.210076,0.224622,0.240193,0.256692,0.274004,0.29201,0.310599,0.329664,0.349149,0.36899,0.38912,0.409461,0.429934,0.451431,0.474003,0.497703,0.522588,0.548717,0.576153,0.604961,0.635209,0.666969,0.700318,0.735334,0.7721,0.810705,0.851241,0.893803,0.938493,0.985417,1,1,1
1910,0.120059,0.027287,0.014073,0.009756,0.007792,0.00581,0.004259,0.003142,0.002447,0.002129,0.002105,0.002263,0.002475,0.002652,0.002817,0.003061,0.00342,0.003828,0.004272,0.004732,0.005243,0.005736,0.006086,0.006236,0.006246,0.006203,0.006207,0.006291,0.0065,0.006801,0.007133,0.007442,0.007729,0.007978,0.008205,0.008438,0.008706,0.009016,0.00938,0.00979,0.010227,0.010677,0.011146,0.011629,0.01213,0.012702,0.013311,0.013864,0.014333,0.014777,0.015238,0.015843,0.016707,0.017906,0.019377,0.021031,0.022744,0.024463,0.026133,0.027814,0.029678,0.031765,0.03397,0.036291,0.038793,0.041512,0.044568,0.048082,0.052134,0.056677,0.061734,0.067139,0.072694,0.078311,0.084162,0.090269,0.097059,0.105021,0.1144,0.124863,0.136271,0.147852,0.158849,0.168867,0.178468,0.188504,0.199675,0.212384,0.226718,0.242478,0.259383,0.277114,0.295355,0.313828,0.332279,0.351231,0.370646,0.390482,0.410693,0.431228,0.45279,0.475429,0.4992,0.524161,0.550369,0.577887,0.606781,0.63712,0.668976,0.702425,0.737546,0.774424,0.813145,0.853802,0.896492,0.941317,0.988383,1,1,1
1911,0.104562,0.022844,0.011819,0.008211,0.006562,0.004994,0.003769,0.002884,0.002328,0.002066,0.002039,0.002165,0.002352,0.002537,0.002732,0.002995,0.003347,0.003741,0.004164,0.004599,0.005081,0.005545,0.005873,0.006012,0.006019,0.005977,0.005981,0.006064,0.00627,0.006568,0.006893,0.007198,0.007497,0.007775,0.008044,0.008325,0.008631,0.008957,0.009305,0.009676,0.01007,0.010483,0.010908,0.011343,0.011794,0.012306,0.012863,0.013406,0.013919,0.014445,0.015,0.015679,0.016583,0.017774,0.019196,0.020801,0.022467,0.0241,0.02564,0.027165,0.028859,0.030799,0.032915,0.035227,0.037781,0.040538,0.043623,0.047241,0.051487,0.056269,0.061635,0.067278,0.072808,0.078045,0.083282,0.088616,0.094742,0.10239,0.111941,0.122888,0.134901,0.146886,0.157883,0.167349,0.176018,0.185014,0.195263,0.207302,0.221243,0.236822,0.253664,0.271344,0.289444,0.307599,0.325481,0.343872,0.362743,0.38206,0.401785,0.421874,0.442967,0.465116,0.488372,0.51279,0.53843,0.565351,0.593619,0.6233,0.654465,0.687188,0.721547,0.757625,0.795506,0.835281,0.877045,0.920897,0.966942,1,1,1
1912,0.102415,0.021297,0.011035,0.007673,0.006134,0.004684,0.003546,0.002716,0.002182,0.001913,0.001859,0.001952,0.002116,0.002299,0.002505,0.00278,0.003135,0.003532,0.003957,0.004393,0.004873,0.005335,0.00567,0.005828,0.005859,0.005847,0.005873,0.005956,0.00613,0.006374,0.00664,0.006896,0.007153,0.007405,0.007659,0.007921,0.008213,0.008556,0.008965,0.009423,0.009932,0.010447,0.010913,0.011302,0.011652,0.01203,0.012489,0.013027,0.013666,0.014409,0.015207,0.016088,0.017138,0.018387,0.0198,0.02139,0.023044,0.024615,0.026031,0.027395,0.028883,0.030637,0.032667,0.035034,0.037738,0.040715,0.043974,0.047601,0.051623,0.056036,0.06091,0.066156,0.071622,0.077252,0.083171,0.089336,0.096095,0.103897,0.112946,0.122945,0.133834,0.14487,0.155252,0.164583,0.173439,0.182694,0.193069,0.204986,0.218544,0.233553,0.249737,0.266778,0.28436,0.302207,0.320063,0.338393,0.357157,0.376313,0.395812,0.415603,0.436383,0.458202,0.481112,0.505168,0.530426,0.556947,0.584795,0.614035,0.644736,0.676973,0.710822,0.746363,0.783681,0.822865,0.864008,0.907209,0.952569,1,1,1
1913,0.10576,0.023198,0.011999,0.008334,0.00666,0.005145,0.00395,0.003061,0.002464,0.002127,0.002007,0.00205,0.002193,0.002393,0.002643,0.002976,0.003383,0.003807,0.004225,0.004627,0.005065,0.005496,0.005813,0.005972,0.006018,0.006025,0.006064,0.006151,0.006317,0.006544,0.006791,0.007032,0.007281,0.007533,0.007796,0.008066,0.008364,0.008718,0.009143,0.00962,0.010151,0.010683,0.011152,0.011526,0.011846,0.012191,0.012619,0.013128,0.013743,0.014465,0.015234,0.016084,0.017124,0.018391,0.019835,0.021477,0.023164,0.024703,0.025998,0.027182,0.028472,0.030062,0.031986,0.034333,0.037082,0.04007,0.043329,0.047069,0.051353,0.056099,0.061428,0.067024,0.072412,0.07739,0.082286,0.087177,0.092867,0.100239,0.109743,0.120768,0.132927,0.144902,0.155531,0.164156,0.171657,0.179387,0.188468,0.199559,0.212805,0.227897,0.244387,0.261768,0.279539,0.297266,0.314557,0.332339,0.350584,0.369258,0.388324,0.40774,0.428127,0.449533,0.47201,0.49561,0.520391,0.54641,0.573731,0.602417,0.632538,0.664165,0.697373,0.732242,0.768854,0.807297,0.847662,0.890045,0.934547,0.981274,1,1
1914,0.099295,0.020073,0.010414,0.007247,0.005795,0.004539,0.003548,0.002816,0.002333,0.002073,0.001997,0.002053,0.002182,0.002342,0.002536,0.002789,0.003116,0.003489,0.003903,0.004335,0.004813,0.005272,0.005601,0.00575,0.005771,0.005746,0.005761,0.005839,0.006016,0.006268,0.00655,0.006818,0.007069,0.007289,0.007497,0.007695,0.007934,0.00827,0.008735,0.009289,0.009919,0.010528,0.011013,0.011317,0.011508,0.011698,0.011996,0.012432,0.013057,0.013846,0.014705,0.015624,0.016695,0.017937,0.019319,0.020887,0.022521,0.024033,0.025343,0.026571,0.027928,0.02958,0.031539,0.033878,0.036599,0.039499,0.042695,0.04653,0.051121,0.056296,0.062143,0.068133,0.073573,0.078142,0.08231,0.086341,0.091293,0.098172,0.107547,0.118699,0.13102,0.143063,0.153725,0.162315,0.169716,0.177294,0.186186,0.19705,0.210025,0.224785,0.240864,0.257736,0.274884,0.291859,0.308252,0.325186,0.342649,0.360627,0.379103,0.398058,0.417961,0.438859,0.460802,0.483842,0.508034,0.533436,0.560108,0.588113,0.617519,0.648395,0.680814,0.714855,0.750598,0.788128,0.827534,0.868911,0.912356,0.957974,1,1
1915,0.095652,0.018028,0.009377,0.006536,0.005229,0.004095,0.003205,0.002552,0.002127,0.001908,0.001857,0.001927,0.002063,0.002227,0.002421,0.002669,0.002984,0.003343,0.00374,0.004155,0.004614,0.005054,0.00537,0.005513,0.005534,0.00551,0.005527,0.005611,0.005801,0.00607,0.006369,0.006651,0.006912,0.007137,0.007344,0.007548,0.007791,0.008106,0.008515,0.008996,0.00953,0.010061,0.010538,0.01093,0.011274,0.011663,0.01213,0.012633,0.01318,0.013795,0.014418,0.015154,0.016202,0.017643,0.019371,0.021365,0.023343,0.024994,0.026153,0.027029,0.027973,0.029302,0.031077,0.03344,0.036342,0.039467,0.042868,0.046931,0.051759,0.057182,0.06331,0.069601,0.07532,0.080134,0.084529,0.088796,0.094017,0.101203,0.110931,0.122472,0.135212,0.147688,0.158784,0.167806,0.175652,0.183707,0.193119,0.204552,0.21814,0.233551,0.25031,0.267884,0.285751,0.303459,0.320598,0.33829,0.356519,0.375269,0.394519,0.414245,0.434957,0.456705,0.47954,0.503517,0.528693,0.555128,0.582884,0.612029,0.64263,0.674762,0.7085,0.743925,0.781121,0.820177,0.861186,0.904245,0.949457,0.99693,1,1
1916,0.09748,0.021493,0.011135,0.007741,0.006188,0.004698,0.003533,0.002691,0.002158,0.001902,0.001868,0.001983,0.002166,0.002356,0.002564,0.00284,0.003199,0.003591,0.004002,0.004418,0.004876,0.005319,0.005639,0.005787,0.005813,0.005794,0.005814,0.005906,0.006109,0.006395,0.006715,0.007017,0.007289,0.007512,0.007709,0.007895,0.008128,0.008457,0.008916,0.009468,0.010088,0.010693,0.011207,0.011586,0.011881,0.01221,0.012635,0.01312,0.013686,0.014351,0.015021,0.015801,0.016917,0.018454,0.020295,0.02243,0.024534,0.026232,0.027327,0.02807,0.028821,0.03,0.031773,0.034342,0.037586,0.041157,0.044928,0.0491,0.053675,0.058613,0.064123,0.069948,0.075594,0.080875,0.086105,0.091374,0.097434,0.105088,0.114757,0.125883,0.138091,0.150201,0.161196,0.170496,0.17888,0.187546,0.197481,0.209261,0.223005,0.238433,0.255144,0.272686,0.290613,0.30854,0.326116,0.344239,0.362889,0.382045,0.401679,0.421763,0.442851,0.464994,0.488243,0.512655,0.538288,0.565203,0.593463,0.623136,0.654293,0.687007,0.721358,0.757425,0.795297,0.835062,0.876815,0.920655,0.966688,1,1,1
1917,0.096891,0.020577,0.01067,0.007422,0.005935,0.004617,0.003584,0.002825,0.002327,0.002065,0.001996,0.00207,0.002229,0.002431,0.002673,0.002985,0.003367,0.003779,0.004207,0.004636,0.005108,0.005566,0.005898,0.006057,0.006093,0.006077,0.006103,0.006212,0.006449,0.006777,0.007149,0.007493,0.007777,0.007971,0.00811,0.008224,0.008396,0.008698,0.009176,0.00978,0.010466,0.011123,0.011663,0.012025,0.012275,0.012544,0.012921,0.013393,0.013994,0.014725,0.015483,0.016334,0.01746,0.018928,0.020644,0.022626,0.024608,0.026266,0.027433,0.028327,0.029259,0.030585,0.032451,0.035027,0.038216,0.041703,0.045405,0.049543,0.054135,0.059121,0.064745,0.070657,0.076226,0.08121,0.086018,0.090678,0.096248,0.103951,0.11439,0.126717,0.140351,0.153531,0.164759,0.173168,0.179889,0.186671,0.194969,0.205635,0.218854,0.234216,0.251133,0.268939,0.286985,0.30471,0.321609,0.339093,0.357158,0.375796,0.394996,0.414746,0.435483,0.457257,0.48012,0.504126,0.529332,0.555799,0.583589,0.612768,0.643406,0.675577,0.709356,0.744823,0.782065,0.821168,0.862226,0.905338,0.950604,0.998135,1,1
1918,0.102626,0.029604,0.015248,0.010561,0.008434,0.006659,0.005283,0.00426,0.003545,0.003112,0.00295,0.003059,0.00345,0.004112,0.004986,0.006043,0.007168,0.008226,0.009134,0.009929,0.010714,0.011549,0.012386,0.013231,0.014065,0.014836,0.015535,0.016196,0.016817,0.017367,0.01792,0.018346,0.018414,0.018024,0.017307,0.016439,0.015653,0.015064,0.014794,0.014768,0.014815,0.014826,0.014844,0.014844,0.014852,0.014944,0.015137,0.015375,0.015655,0.016008,0.016396,0.016923,0.017757,0.018972,0.020476,0.022246,0.024037,0.025578,0.026723,0.027659,0.028642,0.029992,0.031848,0.034364,0.03744,0.040797,0.04433,0.048188,0.052367,0.056835,0.061803,0.06703,0.072036,0.076644,0.081155,0.085643,0.090845,0.097565,0.106221,0.116266,0.127356,0.1383,0.148042,0.155983,0.162923,0.170099,0.178539,0.188853,0.201182,0.215252,0.230663,0.246956,0.263675,0.280423,0.296835,0.313702,0.330992,0.34867,0.366698,0.385033,0.404285,0.424499,0.445724,0.46801,0.49141,0.515981,0.54178,0.568869,0.597312,0.627178,0.658537,0.691464,0.726037,0.762339,0.800456,0.840479,0.882503,0.926628,0.972959,1
1919,0.08467,0.017847,0.009285,0.006473,0.005179,0.004282,0.003577,0.003034,0.002629,0.002348,0.002194,0.002178,0.00232,0.002622,0.003046,0.003558,0.004089,0.004578,0.004979,0.005308,0.005648,0.005997,0.006271,0.006445,0.00655,0.006612,0.006688,0.00682,0.007039,0.007316,0.007614,0.00788,0.008087,0.00821,0.008275,0.008329,0.008412,0.008525,0.008684,0.008885,0.009113,0.009357,0.009619,0.009897,0.0102,0.010558,0.010971,0.011416,0.01189,0.012415,0.01298,0.013643,0.014485,0.015545,0.016783,0.018204,0.019683,0.021063,0.02227,0.023413,0.024648,0.026158,0.028025,0.030342,0.033058,0.036056,0.039259,0.042708,0.046389,0.050324,0.054673,0.059365,0.064184,0.069066,0.074161,0.079524,0.08549,0.092414,0.100491,0.109498,0.119273,0.129335,0.139282,0.148879,0.158446,0.168471,0.179357,0.191335,0.204449,0.218582,0.233567,0.249213,0.265329,0.281744,0.298299,0.315304,0.332726,0.350528,0.368668,0.387101,0.406456,0.426779,0.448118,0.470524,0.49405,0.518753,0.54469,0.571925,0.600521,0.630547,0.662075,0.695178,0.729937,0.766434,0.804756,0.844994,0.887243,0.931606,0.978186,1
1920,0.085936,0.018848,0.009793,0.006822,0.005456,0.004378,0.003538,0.002917,0.002494,0.002248,0.002158,0.002203,0.002362,0.002614,0.002938,0.003339,0.003776,0.004179,0.004512,0.004784,0.005073,0.005368,0.005576,0.005671,0.005688,0.005661,0.005661,0.005747,0.00596,0.006261,0.006595,0.006893,0.007134,0.00729,0.007384,0.007478,0.007601,0.007732,0.007877,0.008043,0.00823,0.008448,0.008714,0.009039,0.009421,0.009862,0.010354,0.010891,0.011468,0.012101,0.012791,0.01357,0.014477,0.015536,0.016726,0.01809,0.019536,0.020923,0.022191,0.023442,0.024811,0.026466,0.028495,0.030987,0.033899,0.037141,0.040629,0.044368,0.048335,0.052577,0.057275,0.062406,0.067791,0.073393,0.079342,0.085576,0.092459,0.100489,0.10989,0.120347,0.131686,0.143212,0.15428,0.164536,0.174457,0.184768,0.196066,0.208689,0.222703,0.237932,0.254127,0.271008,0.288298,0.305752,0.323148,0.341087,0.359553,0.378522,0.39797,0.417868,0.438762,0.4607,0.483735,0.507921,0.533317,0.559983,0.587982,0.617382,0.648251,0.680663,0.714696,0.750431,0.787953,0.82735,0.868718,0.912154,0.957761,1,1,1
1921,0.075292,0.015378,0.008033,0.005615,0.004496,0.003859,0.003343,0.002929,0.002607,0.002367,0.00221,0.00214,0.002167,0.002289,0.002488,0.002735,0.003003,0.003281,0.003553,0.003811,0.004097,0.004373,0.004548,0.004588,0.004533,0.004443,0.004386,0.004385,0.004473,0.004629,0.004805,0.004974,0.005156,0.005346,0.005546,0.00577,0.006014,0.006262,0.00651,0.006767,0.007041,0.007347,0.007698,0.008102,0.008553,0.009063,0.009605,0.010139,0.010649,0.011165,0.011731,0.012395,0.01318,0.014112,0.015183,0.016379,0.017676,0.019065,0.020539,0.022122,0.023904,0.025873,0.027945,0.030102,0.032413,0.034925,0.037769,0.041074,0.044922,0.049255,0.054093,0.05924,0.064463,0.069654,0.075007,0.080641,0.086964,0.094359,0.103045,0.112767,0.123268,0.134045,0.14476,0.15518,0.165589,0.176429,0.188058,0.200676,0.214311,0.228841,0.244101,0.259906,0.276069,0.292428,0.30883,0.325776,0.343255,0.361254,0.379756,0.398744,0.418681,0.439615,0.461596,0.484676,0.50891,0.534355,0.561073,0.589127,0.618583,0.649512,0.681988,0.716087,0.751892,0.789486,0.828961,0.870409,0.913929,0.959625,1,1
